epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.9946,1.53937,2.74296,1.16215,0.71271,0.09014,0.08022,0.04981,1.5834,2.08448,1.23477,0.00332215,0.00332215,0.00332215
2,179.933,1.50381,1.94391,1.12281,0.49967,0.08537,0.07684,0.04363,1.70251,2.3178,1.27242,0.00662254,0.00662254,0.00662254
3,260.056,1.56587,1.9594,1.13145,0.47804,0.09844,0.08304,0.04926,1.67858,2.14931,1.24875,0.00988993,0.00988993,0.00988993
4,339.913,1.58827,1.9086,1.15609,0.38097,0.08441,0.06856,0.03791,1.70849,2.28323,1.24055,0.0098515,0.0098515,0.0098515
5,419.306,1.582,1.71587,1.15989,0.46213,0.11961,0.10639,0.05813,1.75455,2.04906,1.28367,0.009802,0.009802,0.009802
6,499.531,1.55226,1.61434,1.14644,0.45514,0.14637,0.15386,0.09064,1.62233,1.77023,1.22266,0.0097525,0.0097525,0.0097525
7,579.365,1.54602,1.56677,1.14343,0.44611,0.14549,0.14579,0.08491,1.63754,1.82468,1.24174,0.009703,0.009703,0.009703
8,658.481,1.50832,1.47557,1.1326,0.43189,0.19317,0.17232,0.10433,1.60497,1.73586,1.21821,0.0096535,0.0096535,0.0096535
9,739.342,1.49962,1.45219,1.12824,0.49745,0.13123,0.17059,0.10065,1.63054,1.74583,1.23834,0.009604,0.009604,0.009604
10,818.975,1.49761,1.44332,1.12922,0.51678,0.19943,0.19925,0.12345,1.54179,1.55726,1.19775,0.0095545,0.0095545,0.0095545
11,899.522,1.48263,1.37858,1.11677,0.52759,0.19158,0.22397,0.1374,1.53593,1.5627,1.17943,0.009505,0.009505,0.009505
12,980.083,1.46626,1.35453,1.12201,0.46579,0.23732,0.23033,0.14475,1.51905,1.56844,1.18351,0.0094555,0.0094555,0.0094555
13,1059.67,1.4641,1.3332,1.12099,0.51878,0.16764,0.2089,0.12499,1.60632,1.78935,1.23853,0.009406,0.009406,0.009406
14,1139.62,1.45542,1.30642,1.10961,0.46572,0.24852,0.27719,0.18035,1.49261,1.46899,1.16549,0.0093565,0.0093565,0.0093565
15,1219.78,1.44607,1.28401,1.10128,0.55453,0.24302,0.29746,0.18519,1.48319,1.39734,1.15593,0.009307,0.009307,0.009307
16,1299.79,1.42817,1.25122,1.09917,0.60627,0.21216,0.29642,0.19023,1.48355,1.3537,1.16062,0.0092575,0.0092575,0.0092575
17,1380.21,1.42515,1.24382,1.09501,0.64372,0.21094,0.32671,0.20965,1.4653,1.2835,1.14597,0.009208,0.009208,0.009208
18,1460.35,1.42043,1.21944,1.0919,0.58731,0.237,0.27773,0.17556,1.53484,1.58629,1.19174,0.0091585,0.0091585,0.0091585
19,1540.22,1.41106,1.20016,1.0928,0.58314,0.28037,0.34659,0.22382,1.44841,1.27795,1.14541,0.009109,0.009109,0.009109
20,1620.35,1.4105,1.20022,1.08756,0.57207,0.30892,0.37035,0.24388,1.41303,1.22643,1.12149,0.0090595,0.0090595,0.0090595
21,1700.24,1.40589,1.19017,1.08355,0.60716,0.32974,0.40623,0.26555,1.4197,1.21087,1.12441,0.00901,0.00901,0.00901
22,1780.54,1.39236,1.16463,1.0836,0.6492,0.29312,0.42451,0.28226,1.41475,1.21169,1.12699,0.0089605,0.0089605,0.0089605
23,1860.62,1.39588,1.14914,1.08109,0.66747,0.2853,0.39339,0.26432,1.39447,1.17398,1.11685,0.008911,0.008911,0.008911
24,1939.97,1.38755,1.14968,1.07464,0.61782,0.33101,0.39018,0.26219,1.40521,1.1745,1.12199,0.0088615,0.0088615,0.0088615
25,2019.3,1.38385,1.12451,1.07401,0.64251,0.33274,0.40381,0.26396,1.40649,1.1506,1.11956,0.008812,0.008812,0.008812
26,2099.05,1.38363,1.12556,1.07917,0.58125,0.35916,0.41696,0.27514,1.39769,1.15024,1.12193,0.0087625,0.0087625,0.0087625
27,2178.97,1.37819,1.11709,1.07752,0.60318,0.34658,0.42078,0.28268,1.36186,1.10815,1.10086,0.008713,0.008713,0.008713
28,2259.21,1.36989,1.09424,1.06841,0.60338,0.38097,0.45274,0.30548,1.37988,1.10342,1.10479,0.0086635,0.0086635,0.0086635
29,2339.08,1.36649,1.08672,1.0657,0.65087,0.328,0.45328,0.30611,1.38014,1.09414,1.10677,0.008614,0.008614,0.008614
30,2419.43,1.36148,1.08077,1.06416,0.65061,0.40698,0.52806,0.35602,1.35322,1.03344,1.09155,0.0085645,0.0085645,0.0085645
31,2499.46,1.36061,1.08138,1.06824,0.66634,0.35685,0.48268,0.32072,1.34821,1.0559,1.09028,0.008515,0.008515,0.008515
32,2579.54,1.35941,1.06467,1.064,0.70389,0.34718,0.51624,0.3475,1.35373,1.03203,1.09413,0.0084655,0.0084655,0.0084655
33,2659.47,1.35362,1.05141,1.07026,0.62769,0.41389,0.50043,0.3306,1.34662,1.00727,1.08765,0.008416,0.008416,0.008416
34,2738.68,1.34111,1.03664,1.06668,0.64209,0.39397,0.52904,0.35922,1.33242,1.04215,1.08257,0.0083665,0.0083665,0.0083665
35,2819.41,1.34525,1.04873,1.0592,0.67007,0.40115,0.5274,0.36118,1.34334,1.0176,1.08973,0.008317,0.008317,0.008317
36,2899.95,1.33552,1.02155,1.05803,0.61398,0.45953,0.54361,0.3745,1.32829,0.98476,1.0824,0.0082675,0.0082675,0.0082675
37,2980.13,1.3349,1.0196,1.05855,0.61464,0.43473,0.55475,0.37823,1.31264,0.97674,1.07049,0.008218,0.008218,0.008218
38,3060.78,1.33013,1.01453,1.05566,0.62881,0.42993,0.53609,0.36616,1.31787,0.98316,1.07969,0.0081685,0.0081685,0.0081685
39,3140.34,1.32236,0.99514,1.05241,0.74496,0.42291,0.58392,0.40056,1.31462,0.9638,1.07214,0.008119,0.008119,0.008119
40,3220.42,1.32229,0.99346,1.04801,0.56711,0.53475,0.61425,0.42387,1.28831,0.93522,1.06463,0.0080695,0.0080695,0.0080695
41,3300.85,1.32558,1.00414,1.05487,0.67427,0.46568,0.61698,0.42546,1.30015,0.92965,1.06671,0.00802,0.00802,0.00802
42,3380.9,1.31903,0.98221,1.05119,0.59047,0.54736,0.63916,0.4453,1.28737,0.92265,1.06603,0.0079705,0.0079705,0.0079705
43,3460.9,1.31008,0.97614,1.04992,0.56585,0.56342,0.6239,0.44087,1.29878,0.91464,1.06553,0.007921,0.007921,0.007921
44,3540.34,1.3036,0.95867,1.0461,0.76567,0.46975,0.65527,0.45354,1.26889,0.87857,1.05217,0.0078715,0.0078715,0.0078715
45,3620.72,1.29915,0.95501,1.04788,0.65484,0.58204,0.67549,0.46782,1.26622,0.87641,1.05467,0.007822,0.007822,0.007822
46,3700.25,1.29375,0.9407,1.04508,0.67809,0.53061,0.65929,0.45454,1.26443,0.88478,1.05131,0.0077725,0.0077725,0.0077725
47,3778.96,1.30192,0.94574,1.04171,0.59764,0.591,0.66953,0.47187,1.25779,0.86252,1.04797,0.007723,0.007723,0.007723
48,3858.72,1.2973,0.94067,1.04293,0.72082,0.53135,0.69217,0.47908,1.25718,0.87111,1.05033,0.0076735,0.0076735,0.0076735
49,3939.73,1.2905,0.93378,1.03888,0.75352,0.53939,0.70184,0.48423,1.24949,0.83547,1.04391,0.007624,0.007624,0.007624
50,4019.88,1.28213,0.91647,1.03569,0.75022,0.53537,0.67167,0.47067,1.24077,0.86288,1.04487,0.0075745,0.0075745,0.0075745
51,4101.22,1.28722,0.91673,1.03447,0.66938,0.54951,0.68601,0.48259,1.23812,0.84665,1.04346,0.007525,0.007525,0.007525
52,4181.03,1.27752,0.93129,1.03863,0.6149,0.62825,0.70485,0.50088,1.23332,0.83696,1.03448,0.0074755,0.0074755,0.0074755
53,4261.56,1.26064,0.9012,1.03045,0.7861,0.52503,0.69364,0.49229,1.22337,0.80963,1.03523,0.007426,0.007426,0.007426
54,4341.53,1.27625,0.90218,1.03091,0.65147,0.62334,0.75201,0.52896,1.21697,0.81169,1.03517,0.0073765,0.0073765,0.0073765
55,4422.09,1.27567,0.88764,1.02993,0.67172,0.62689,0.73104,0.51544,1.21705,0.80742,1.03327,0.007327,0.007327,0.007327
56,4502.9,1.26641,0.8853,1.02924,0.68457,0.60562,0.74234,0.52916,1.20164,0.77277,1.02822,0.0072775,0.0072775,0.0072775
57,4583.13,1.24582,0.87042,1.02301,0.78164,0.59589,0.75572,0.53725,1.18895,0.76585,1.01905,0.007228,0.007228,0.007228
58,4663.79,1.25332,0.87117,1.02252,0.76648,0.62238,0.76619,0.54224,1.19604,0.77376,1.02212,0.0071785,0.0071785,0.0071785
59,4744.62,1.2561,0.86255,1.02141,0.73803,0.6361,0.7767,0.54966,1.18598,0.75983,1.01755,0.007129,0.007129,0.007129
60,4824.96,1.23882,0.86,1.01471,0.787,0.62529,0.77735,0.55644,1.17404,0.73854,1.01484,0.0070795,0.0070795,0.0070795
61,4905.39,1.23678,0.8454,1.01676,0.73573,0.66949,0.77523,0.5709,1.16909,0.72687,1.01252,0.00703,0.00703,0.00703
62,4986.25,1.24688,0.85542,1.0199,0.77026,0.6443,0.78713,0.56687,1.16217,0.72861,1.00872,0.0069805,0.0069805,0.0069805
63,5066.09,1.22894,0.84111,1.01615,0.70085,0.67055,0.79405,0.57275,1.16084,0.71987,1.00814,0.006931,0.006931,0.006931
64,5146.84,1.22648,0.83249,1.01161,0.77981,0.67147,0.81996,0.59413,1.15662,0.71401,1.00854,0.0068815,0.0068815,0.0068815
65,5228.43,1.2175,0.82125,1.01061,0.77325,0.67835,0.80756,0.58195,1.13797,0.70037,1.00469,0.006832,0.006832,0.006832
66,5308.38,1.21989,0.81496,1.0151,0.83997,0.62652,0.8111,0.59553,1.13787,0.71285,1.00269,0.0067825,0.0067825,0.0067825
67,5388.47,1.21298,0.81938,1.01348,0.69765,0.7479,0.82023,0.60822,1.13429,0.69908,0.9974,0.006733,0.006733,0.006733
68,5469.08,1.21382,0.81422,1.00988,0.72212,0.71278,0.80742,0.5983,1.12096,0.69117,0.99159,0.0066835,0.0066835,0.0066835
69,5548.1,1.20829,0.80503,1.0101,0.65222,0.76014,0.81927,0.60017,1.10864,0.67712,0.99001,0.006634,0.006634,0.006634
70,5627.83,1.19797,0.80119,1.00672,0.75907,0.71671,0.82892,0.60643,1.12377,0.68251,0.99503,0.0065845,0.0065845,0.0065845
71,5707.78,1.19925,0.79459,1.00656,0.80365,0.70023,0.82275,0.6117,1.09879,0.66254,0.9868,0.006535,0.006535,0.006535
