epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.7754,1.58184,3.11022,1.17508,0.72375,0.10658,0.08432,0.05031,1.51619,1.88104,1.13431,0.00332215,0.00332215,0.00332215
2,157.246,1.46864,1.91001,1.10408,0.57108,0.11303,0.10131,0.05633,1.60457,1.8591,1.19051,0.00662254,0.00662254,0.00662254
3,211.778,1.49648,1.86094,1.1137,0.49429,0.11303,0.11848,0.06615,1.56347,1.85841,1.15437,0.00988993,0.00988993,0.00988993
4,265.384,1.54901,1.72327,1.13583,0.44778,0.13498,0.11048,0.06168,1.63463,1.74409,1.20825,0.0098515,0.0098515,0.0098515
5,319.534,1.5351,1.62302,1.14572,0.48798,0.14501,0.14197,0.08414,1.58875,1.6869,1.18382,0.009802,0.009802,0.009802
6,373.826,1.52247,1.53096,1.13623,0.48398,0.14967,0.15328,0.08606,1.58413,1.62918,1.19272,0.0097525,0.0097525,0.0097525
7,427.976,1.49878,1.46956,1.13377,0.46426,0.18495,0.16553,0.09547,1.52097,1.67512,1.17506,0.009703,0.009703,0.009703
8,482.419,1.50214,1.43942,1.13232,0.49568,0.20057,0.20098,0.11573,1.51251,1.445,1.16597,0.0096535,0.0096535,0.0096535
9,536.365,1.48272,1.37579,1.12821,0.47664,0.15718,0.16878,0.09865,1.53049,1.54465,1.18284,0.009604,0.009604,0.009604
10,589.911,1.46689,1.3553,1.12141,0.51995,0.18756,0.19486,0.11681,1.49288,1.43236,1.15664,0.0095545,0.0095545,0.0095545
11,644.442,1.46496,1.30848,1.11467,0.44869,0.22893,0.19538,0.11604,1.51801,1.45024,1.16222,0.009505,0.009505,0.009505
12,697.889,1.43793,1.26212,1.11001,0.4976,0.20906,0.20551,0.11966,1.53872,1.50589,1.17893,0.0094555,0.0094555,0.0094555
13,752.644,1.44105,1.26009,1.11253,0.56197,0.2079,0.21663,0.12869,1.50238,1.37918,1.16446,0.009406,0.009406,0.009406
14,806.467,1.43727,1.24698,1.1048,0.52143,0.20767,0.20002,0.12515,1.49965,1.54919,1.16325,0.0093565,0.0093565,0.0093565
15,860.007,1.42324,1.22543,1.10317,0.46251,0.26708,0.24396,0.14246,1.49964,1.37324,1.16113,0.009307,0.009307,0.009307
16,914.814,1.41895,1.20228,1.1023,0.53779,0.21108,0.22746,0.14059,1.46575,1.45479,1.14443,0.0092575,0.0092575,0.0092575
17,968.203,1.40198,1.17751,1.09765,0.53754,0.23521,0.23906,0.14973,1.50605,1.40701,1.17279,0.009208,0.009208,0.009208
18,1022.18,1.40925,1.16852,1.09908,0.58783,0.23972,0.24699,0.15316,1.47696,1.30632,1.14305,0.0091585,0.0091585,0.0091585
19,1076.88,1.38814,1.14375,1.0935,0.55308,0.24596,0.25066,0.15401,1.46973,1.31977,1.1432,0.009109,0.009109,0.009109
