epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,405.475,1.64888,3.82826,1.20446,0.66178,0.10096,0.07019,0.04621,1.55586,1.95252,1.17889,0.00331845,0.00331845,0.00331845
2,459.544,1.51655,2.35053,1.13024,0.46469,0.10206,0.07144,0.04394,1.54178,1.90717,1.15849,0.00661886,0.00661886,0.00661886
3,513.232,1.5446,2.1519,1.13228,0.44233,0.13324,0.10563,0.06528,1.60222,1.76387,1.19652,0.00988627,0.00988627,0.00988627
4,567.413,1.57927,2.13719,1.15643,0.28253,0.15697,0.09766,0.06027,1.63045,1.84741,1.22873,0.0098515,0.0098515,0.0098515
5,620.622,1.57637,1.9457,1.15953,0.39529,0.10589,0.09884,0.06214,1.62535,1.74088,1.23195,0.009802,0.009802,0.009802
6,673.961,1.5556,1.82376,1.14764,0.4185,0.13585,0.13525,0.08467,1.5802,1.62824,1.1949,0.0097525,0.0097525,0.0097525
7,727.796,1.54765,1.74593,1.13745,0.41452,0.17007,0.14897,0.09256,1.60612,1.5808,1.20394,0.009703,0.009703,0.009703
8,782.163,1.53436,1.70609,1.13894,0.36566,0.19845,0.12487,0.0761,1.58727,1.5544,1.20331,0.0096535,0.0096535,0.0096535
9,835.545,1.51922,1.63246,1.12716,0.45332,0.16916,0.14935,0.0833,1.5532,1.5879,1.17287,0.009604,0.009604,0.009604
10,888.656,1.49344,1.58028,1.12875,0.42335,0.18791,0.1875,0.11589,1.5432,1.48987,1.17642,0.0095545,0.0095545,0.0095545
11,942.756,1.47397,1.52112,1.11525,0.48965,0.17947,0.16664,0.10177,1.55561,1.50114,1.18298,0.009505,0.009505,0.009505
12,995.719,1.4749,1.49668,1.11465,0.4474,0.23286,0.21238,0.13256,1.54172,1.49854,1.16609,0.0094555,0.0094555,0.0094555
13,1049.53,1.45785,1.46416,1.11887,0.33515,0.26241,0.21534,0.1324,1.5438,1.48042,1.1788,0.009406,0.009406,0.009406
14,1102.59,1.45733,1.43735,1.09982,0.49093,0.21712,0.17964,0.11485,1.55509,1.52114,1.17636,0.0093565,0.0093565,0.0093565
15,1155.08,1.4498,1.39979,1.10268,0.46185,0.22228,0.2208,0.14314,1.51787,1.42805,1.16373,0.009307,0.009307,0.009307
16,1210.16,1.43937,1.36276,1.10021,0.42141,0.26016,0.23226,0.14427,1.54786,1.47277,1.17249,0.0092575,0.0092575,0.0092575
17,1264.99,1.43279,1.36358,1.10353,0.51507,0.23321,0.22212,0.14357,1.51058,1.44362,1.16177,0.009208,0.009208,0.009208
18,1318.32,1.42341,1.3075,1.0905,0.48652,0.27955,0.24488,0.16013,1.50664,1.42194,1.15721,0.0091585,0.0091585,0.0091585
19,1372.07,1.40985,1.2938,1.08996,0.40024,0.31371,0.2763,0.17578,1.50974,1.37676,1.15804,0.009109,0.009109,0.009109
20,1426.1,1.41303,1.2946,1.09142,0.47681,0.22557,0.23076,0.14586,1.49926,1.4076,1.15748,0.0090595,0.0090595,0.0090595
