epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.984,1.36244,1.36479,1.04454,0.44906,0.15016,0.12103,0.07408,1.54018,1.6317,1.15271,0.00331845,0.00331845,0.00331845
2,159.173,1.40378,1.52176,1.05688,0.39363,0.17839,0.11762,0.07355,1.55446,1.64198,1.16046,0.00661886,0.00661886,0.00661886
3,214.552,1.48351,1.76568,1.07975,0.46599,0.11478,0.08666,0.05354,1.67337,1.9327,1.20267,0.00988627,0.00988627,0.00988627
4,271.148,1.55353,1.89888,1.11938,0.4373,0.11092,0.0836,0.05093,1.63026,2.23465,1.19715,0.0098515,0.0098515,0.0098515
5,325.864,1.56763,1.81058,1.13147,0.37859,0.18941,0.15815,0.10115,1.63135,1.63191,1.19961,0.009802,0.009802,0.009802
6,379.804,1.54403,1.73947,1.12312,0.35854,0.19048,0.12649,0.07511,1.594,1.63557,1.19123,0.0097525,0.0097525,0.0097525
7,435.249,1.53413,1.67724,1.1229,0.46546,0.15984,0.15345,0.09047,1.56737,1.53961,1.17371,0.009703,0.009703,0.009703
8,490.044,1.52791,1.62195,1.12285,0.47801,0.14477,0.13806,0.07811,1.55134,1.56655,1.16908,0.0096535,0.0096535,0.0096535
9,545.145,1.5149,1.56029,1.11517,0.51501,0.17587,0.19172,0.11898,1.56152,1.55971,1.17191,0.009604,0.009604,0.009604
10,600.569,1.48963,1.52147,1.11748,0.46777,0.21353,0.19402,0.1227,1.55798,1.53358,1.1796,0.0095545,0.0095545,0.0095545
11,654.985,1.47208,1.47674,1.10483,0.50261,0.19321,0.18525,0.11399,1.54365,1.58263,1.17057,0.009505,0.009505,0.009505
12,710.014,1.46938,1.45306,1.10652,0.43804,0.26083,0.24016,0.1578,1.51843,1.47118,1.15351,0.0094555,0.0094555,0.0094555
13,765.281,1.45275,1.40663,1.10831,0.37296,0.33647,0.24438,0.15766,1.57401,1.47404,1.18389,0.009406,0.009406,0.009406
14,820.643,1.44971,1.38416,1.08753,0.47576,0.25889,0.23205,0.15164,1.55403,1.50255,1.16527,0.0093565,0.0093565,0.0093565
15,875.27,1.45025,1.36415,1.09392,0.43907,0.28949,0.24892,0.15689,1.5401,1.43638,1.16387,0.009307,0.009307,0.009307
16,930.202,1.43683,1.32731,1.09236,0.46426,0.25864,0.23961,0.15294,1.54687,1.53349,1.17279,0.0092575,0.0092575,0.0092575
17,985.601,1.42506,1.32497,1.09301,0.46673,0.30077,0.26894,0.16691,1.51387,1.43262,1.15138,0.009208,0.009208,0.009208
18,1041.8,1.41277,1.26462,1.0782,0.33623,0.37011,0.3191,0.20717,1.5083,1.42238,1.14066,0.0091585,0.0091585,0.0091585
19,1097.06,1.3982,1.25928,1.07547,0.46762,0.30044,0.30453,0.19605,1.5118,1.38655,1.14701,0.009109,0.009109,0.009109
20,1152.73,1.40218,1.25716,1.0811,0.47983,0.31644,0.31706,0.20873,1.50478,1.37178,1.1526,0.0090595,0.0090595,0.0090595
21,1207.3,1.40161,1.24444,1.07626,0.52248,0.2985,0.3236,0.21616,1.50316,1.32019,1.14095,0.00901,0.00901,0.00901
22,1262.89,1.38874,1.21265,1.07666,0.48938,0.30037,0.2867,0.18559,1.51299,1.40923,1.15607,0.0089605,0.0089605,0.0089605
23,1318,1.37745,1.18868,1.06467,0.53092,0.26026,0.29651,0.18891,1.51709,1.394,1.15388,0.008911,0.008911,0.008911
24,1371.69,1.3739,1.18165,1.06396,0.4797,0.34686,0.32668,0.21781,1.50026,1.33702,1.14904,0.0088615,0.0088615,0.0088615
25,1427.48,1.35676,1.16961,1.06674,0.50971,0.32925,0.30268,0.20489,1.50393,1.4013,1.15503,0.008812,0.008812,0.008812
26,1481.47,1.35657,1.15808,1.05749,0.45964,0.35006,0.3671,0.23962,1.49361,1.34823,1.1446,0.0087625,0.0087625,0.0087625
27,1536.97,1.35186,1.13909,1.0557,0.48547,0.3548,0.3589,0.23654,1.52912,1.35031,1.16027,0.008713,0.008713,0.008713
28,1591.9,1.33874,1.12647,1.05621,0.49575,0.34374,0.32077,0.21714,1.51626,1.34769,1.15309,0.0086635,0.0086635,0.0086635
29,1645.47,1.329,1.09874,1.04947,0.58115,0.31956,0.37248,0.25667,1.49392,1.29665,1.14588,0.008614,0.008614,0.008614
30,1700.91,1.32294,1.09851,1.05175,0.52675,0.36987,0.38017,0.2601,1.49015,1.32369,1.13881,0.0085645,0.0085645,0.0085645
31,1755.98,1.31497,1.05989,1.04059,0.45004,0.43826,0.38765,0.26216,1.47543,1.30156,1.13798,0.008515,0.008515,0.008515
