epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,234.399,1.8352,5.37366,1.30209,0.93765,0.01915,0.02229,0.01277,1.64808,2.46599,1.19121,1.12764e-05,1.12764e-05,1.12764e-05
2,300.515,1.5757,2.95424,1.1389,0.697,0.05518,0.03919,0.02134,1.57982,2.05924,1.16047,2.24978e-05,2.24978e-05,2.24978e-05
3,366.168,1.5025,2.36404,1.10627,0.57984,0.09963,0.05926,0.03435,1.52183,1.99799,1.14126,3.3607e-05,3.3607e-05,3.3607e-05
4,432.087,1.4663,2.0465,1.08273,0.56393,0.13035,0.07512,0.04145,1.50522,1.8758,1.13385,3.34951e-05,3.34951e-05,3.34951e-05
5,496.998,1.43836,1.87073,1.07747,0.45107,0.12542,0.07887,0.04381,1.50787,1.77791,1.13077,3.33268e-05,3.33268e-05,3.33268e-05
6,562.795,1.41924,1.71786,1.06436,0.53193,0.11834,0.0956,0.05917,1.50774,1.818,1.13258,3.31585e-05,3.31585e-05,3.31585e-05
7,627.539,1.40709,1.61098,1.0623,0.42069,0.16984,0.11232,0.07058,1.50519,1.76809,1.1321,3.29902e-05,3.29902e-05,3.29902e-05
8,692.937,1.38843,1.57849,1.05806,0.4396,0.16023,0.106,0.06215,1.50266,1.81943,1.12903,3.28219e-05,3.28219e-05,3.28219e-05
9,757.956,1.37176,1.47674,1.05422,0.45697,0.14573,0.12101,0.0738,1.50425,1.76685,1.13146,3.26536e-05,3.26536e-05,3.26536e-05
10,823.228,1.34833,1.39649,1.04399,0.46576,0.16802,0.11039,0.06683,1.51466,1.78099,1.13349,3.24853e-05,3.24853e-05,3.24853e-05
11,888.328,1.34099,1.37829,1.03916,0.44255,0.14107,0.11955,0.07239,1.52168,1.73774,1.14201,3.2317e-05,3.2317e-05,3.2317e-05
12,952.653,1.32629,1.34727,1.04136,0.42511,0.14894,0.12458,0.07672,1.54717,1.74803,1.15326,3.21487e-05,3.21487e-05,3.21487e-05
13,1019.22,1.31153,1.27394,1.03398,0.43281,0.15154,0.12532,0.07707,1.51433,1.78812,1.13259,3.19804e-05,3.19804e-05,3.19804e-05
14,1083.68,1.31282,1.25581,1.02659,0.46619,0.15227,0.11969,0.07449,1.51639,1.72126,1.14262,3.18121e-05,3.18121e-05,3.18121e-05
15,1149.1,1.30166,1.2144,1.02511,0.53194,0.15404,0.14216,0.08977,1.52079,1.76216,1.14342,3.16438e-05,3.16438e-05,3.16438e-05
16,1213.49,1.29649,1.18783,1.02287,0.51194,0.15445,0.14655,0.09247,1.51115,1.74295,1.1358,3.14755e-05,3.14755e-05,3.14755e-05
17,1278.89,1.26843,1.174,1.01852,0.53104,0.14476,0.1547,0.09914,1.52035,1.73465,1.14081,3.13072e-05,3.13072e-05,3.13072e-05
18,1344.84,1.26648,1.12691,1.0149,0.52838,0.16715,0.17717,0.11998,1.53405,1.76735,1.15095,3.11389e-05,3.11389e-05,3.11389e-05
19,1410.71,1.26538,1.12089,1.01437,0.46524,0.19854,0.14569,0.08908,1.53007,1.75857,1.14303,3.09706e-05,3.09706e-05,3.09706e-05
20,1476.26,1.24791,1.08538,1.01072,0.49006,0.20426,0.15295,0.09574,1.53315,1.79266,1.14682,3.08023e-05,3.08023e-05,3.08023e-05
21,1539.78,1.24642,1.06289,1.00423,0.46158,0.17287,0.14562,0.09119,1.55022,1.73473,1.15761,3.0634e-05,3.0634e-05,3.0634e-05
22,1605.73,1.23166,1.03573,0.99838,0.58996,0.12301,0.1473,0.08803,1.53012,1.80159,1.15209,3.04657e-05,3.04657e-05,3.04657e-05
23,1669.25,1.23198,1.01805,1.00305,0.48037,0.18079,0.1517,0.09657,1.53967,1.80545,1.15888,3.02974e-05,3.02974e-05,3.02974e-05
24,1734.21,1.22396,1.00181,0.9992,0.45352,0.17863,0.17693,0.11492,1.54868,1.76582,1.15755,3.01291e-05,3.01291e-05,3.01291e-05
25,1799.07,1.19962,0.97821,0.98989,0.47833,0.19142,0.17389,0.1039,1.55419,1.82339,1.16279,2.99608e-05,2.99608e-05,2.99608e-05
26,1863.68,1.18934,0.96174,0.98767,0.41439,0.19379,0.17239,0.11275,1.55002,1.75925,1.16434,2.97925e-05,2.97925e-05,2.97925e-05
